grass,deer,lion
237,299,3
215,305,3
217,312,3
218,326,3
215,339,3
204,359,4
181,374,4
206,382,4
219,394,4
241,400,4
240,375,4
249,371,4
291,377,4
323,367,4
337,373,4
347,374,4
377,361,4
391,362,4
401,357,4
391,362,4
369,357,4
328,355,4
288,362,4
253,370,4
268,373,4
286,366,4
315,366,4
329,361,4
342,360,4
353,357,3
330,368,3
297,368,3
288,368,3
295,366,3
273,381,2
259,386,2
271,397,2
293,399,2
320,400,2
307,403,1
276,413,0
217,423,0
195,425,0
194,434,0
174,433,0
163,432,0
161,425,0
159,431,0
168,436,0
166,439,0
180,437,0
157,437,0
164,432,0
169,435,0
162,419,0
148,416,0
148,416,0
149,414,0
159,411,0
150,420,0
156,418,0
164,416,0
164,421,0
159,409,0
142,425,0
142,428,0
153,424,0
165,418,0
185,412,0
182,415,0
194,415,0
185,417,0
161,415,0
141,420,0
138,418,0
148,410,0
151,419,0
155,418,0
153,426,0
162,424,0
142,425,0
152,426,0
156,423,0
158,416,0
151,424,0
160,416,0
156,416,0
159,421,0
158,420,0
147,437,0
149,432,0
152,427,0
153,425,0
145,421,0
164,421,0
159,419,0
159,412,0
157,409,0
164,406,0
176,402,0
181,394,0
173,392,0
169,393,0
173,388,0
179,390,0
156,389,0
156,395,0
148,390,0
148,397,0
149,401,0
150,404,0
166,402,0
175,402,0
174,405,0
162,408,0
162,414,0
159,410,0
176,411,0
172,408,0
168,410,0
179,403,0
177,398,0
168,402,0
164,406,0
158,404,0
143,401,0
151,402,0
165,408,0
167,407,0
152,405,0
145,409,0
150,413,0
152,415,0
143,428,0
140,435,0
150,437,0
158,444,0
161,448,0
173,448,0
176,439,0
174,433,0
178,422,0
165,417,0
154,411,0
158,400,0
149,403,0
142,409,0
140,407,0
148,412,0
146,415,0
157,421,0
153,419,0
175,417,0
173,416,0
163,416,0
178,404,0
172,412,0
168,409,0
157,404,0
161,397,0
162,408,0
180,398,0
183,401,0
178,401,0
157,411,0
161,422,0
168,416,0
170,414,0
177,417,0
187,408,0
172,405,0
156,405,0
150,405,0
155,394,0
158,392,0
166,392,0
168,394,0
181,394,0
173,403,0
173,411,0
169,410,0
174,416,0
168,413,0
163,415,0
152,413,0
157,407,0
144,407,0
143,403,0
153,405,0
153,405,0
148,410,0
160,414,0
163,418,0
158,424,0
139,428,0
130,428,0
146,429,0
158,430,0
166,428,0
160,423,0
