grass,deer,lion
448,300,3
448,300,3
457,300,3
469,300,3
479,300,3
493,300,3
513,300,3
519,300,3
536,300,3
554,300,3
567,300,3
590,300,3
611,300,3
629,300,3
650,300,3
661,300,3
680,300,3
695,300,3
713,300,3
732,300,3
752,300,3
777,300,3
795,301,3
809,301,3
831,301,3
854,302,3
884,303,3
902,304,3
924,304,3
953,306,3
988,306,3
1013,308,3
1045,309,3
1072,310,3
1110,311,3
1144,311,3
1173,312,3
1213,312,3
1250,314,3
1291,314,3
1339,314,3
1376,317,3
1420,320,3
1460,321,3
1472,322,4
1476,328,4
1483,332,4
1480,334,4
1480,338,4
1474,347,4
1479,351,5
1477,353,5
1482,357,5
1478,359,5
1481,361,5
1483,363,5
1480,367,5
1479,372,5
1486,374,5
1477,379,5
1481,383,5
1482,389,5
1483,391,5
1472,391,5
1481,395,5
1480,400,5
1481,404,5
1473,410,5
1480,411,5
1474,418,5
1481,421,5
1472,424,5
1476,429,5
1480,436,5
1476,439,5
1482,444,5
1484,445,5
1480,449,5
1484,452,5
1480,456,5
1471,459,5
1484,459,5
1479,464,5
1478,467,5
1474,469,5
1483,469,5
1477,471,5
1473,476,5
1480,480,5
1477,483,5
1473,485,5
1476,486,5
1484,491,5
1486,495,5
1481,498,5
1486,500,5
1484,505,5
1477,507,5
1476,509,5
1479,510,5
1472,513,5
1472,522,5
1476,528,5
1481,530,5
1475,535,5
1484,538,5
1483,545,5
1489,547,5
1479,551,5
1483,551,5
1470,553,5
1479,558,5
1483,559,5
1480,562,5
1477,565,5
1479,566,5
1475,567,5
1481,569,5
1479,574,5
1475,574,5
1471,576,5
1479,579,5
1465,582,5
1481,587,5
1471,591,5
1472,597,5
1483,601,5
1479,602,5
1480,604,5
1478,608,5
1480,611,5
1486,613,5
1479,618,5
1479,624,5
1479,629,5
1477,630,5
1476,637,5
1470,642,5
1467,645,5
1466,650,5
1472,653,6
1473,656,7
1478,659,7
1477,666,7
1475,670,8
1472,673,8
1485,678,8
1478,679,8
1478,681,8
1481,682,8
1474,687,8
1460,691,8
1470,693,8
1467,697,8
1474,702,8
1463,707,8
1474,712,8
1476,714,8
1482,717,8
1474,719,8
1477,724,8
1479,726,8
1477,729,8
1474,731,8
1477,732,8
1474,736,8
1476,745,8
1470,749,8
1475,751,8
1472,755,8
1479,760,8
1471,766,8
1480,771,8
1474,774,9
1468,778,9
1474,783,9
1463,789,9
1477,792,9
1468,795,9
1478,800,9
1472,806,9
1484,807,9
1465,813,9
1474,816,9
1468,821,9
1469,822,9
1471,824,9
1481,830,9
1468,834,9
1472,835,9
1472,844,9
1470,846,9
1470,855,9
1474,857,9
1464,866,9
1472,874,9
1464,878,9
1473,883,9
1475,884,9
1468,888,9
1479,892,9
1467,898,9
1482,901,9
1474,906,9
1475,909,9
