day,juvenile,mature,adult
1,377,0,0
2,594,0,0
3,839,0,0
4,1089,0,0
5,1374,0,0
6,1695,0,0
7,2141,0,0
8,2780,0,0
9,3289,0,0
10,3489,0,0
11,3650,0,0
12,3785,0,0
13,3888,0,0
14,3965,0,0
15,4118,0,0
16,4136,0,0
17,4038,0,0
18,3777,0,0
19,3319,0,0
20,2805,0,0
21,2556,0,0
22,2282,0,0
23,1757,0,0
24,1543,0,0
25,1303,0,0
26,1274,0,0
27,1230,0,0
28,1131,0,0
29,983,0,0
30,911,0,0
31,881,0,0
32,835,0,0
33,636,0,0
34,319,0,0
35,169,0,0
36,159,0,0
37,104,0,0
38,115,1,0
39,118,1,0
40,122,1,0
41,124,1,0
42,122,1,0
43,116,1,0
44,113,1,0
45,110,1,0
46,120,1,0
47,131,1,0
48,141,1,0
49,145,0,0
50,107,0,0
51,116,0,0
52,115,0,0
53,130,0,0
54,132,0,0
55,146,0,0
56,158,1,0
57,170,1,0
58,188,1,0
59,201,2,0
60,217,2,0
61,244,2,0
62,273,3,0
63,306,3,0
64,344,3,0
65,376,5,0
66,405,5,0
67,441,6,0
68,492,7,0
69,524,9,0
70,544,10,0
71,550,10,0
72,555,10,0
73,653,11,0
74,783,11,0
75,846,12,0
76,960,12,0
77,1055,12,0
78,1104,12,0
79,1139,15,0
80,1186,15,0
81,1229,15,0
82,1235,16,0
83,1180,17,0
84,1100,20,0
85,1051,21,0
86,1032,21,0
87,888,23,0
88,825,24,0
89,775,21,0
90,730,23,0
91,707,24,0
92,706,28,0
93,697,29,0
94,686,33,0
95,646,31,0
96,628,31,0
97,590,31,0
98,536,30,0
99,462,32,0
100,387,23,0
101,350,19,0
102,328,19,0
103,307,17,0
104,319,15,0
105,320,14,0
106,319,13,0
107,318,13,0
108,308,14,0
109,283,13,0
110,271,9,0
111,254,9,0
112,284,9,0
113,323,8,0
114,353,8,0
115,377,6,0
116,413,5,0
117,412,7,0
118,456,7,0
119,480,6,0
120,489,6,0
121,485,7,0
122,493,6,0
123,505,5,0
124,511,6,0
125,473,7,0
126,435,8,0
127,405,10,0
128,372,9,0
129,371,9,0
130,361,8,0
131,366,8,0
132,369,7,0
133,332,10,0
134,306,7,0
135,247,5,0
136,209,4,0
137,260,4,0
138,289,4,0
139,301,4,0
140,313,3,0
141,317,3,0
142,321,4,0
143,326,5,0
144,315,5,0
145,289,5,0
146,300,4,0
147,292,4,0
148,309,5,0
149,310,5,0
150,313,6,0
151,267,3,0
152,282,4,0
153,292,6,0
154,309,6,0
155,331,6,0
156,351,6,0
157,368,5,0
158,380,4,0
159,401,5,0
160,406,7,0
161,439,8,0
162,531,8,0
163,595,8,0
164,615,9,0
165,656,8,0
166,688,9,0
167,760,10,0
168,825,12,0
169,829,10,0
170,810,10,0
171,815,12,0
172,801,16,0
173,784,21,0
174,842,27,0
175,960,30,0
176,1012,33,0
177,985,29,0
178,917,20,0
179,786,18,0
180,832,19,0
181,886,22,0
182,914,25,0
183,940,28,0
184,891,33,0
185,766,31,0
186,740,33,0
187,654,32,0
188,615,36,0
189,554,31,0
190,497,28,0
191,241,14,0
192,218,11,0
193,208,12,0
194,203,10,0
195,189,11,0
196,194,10,0
197,195,10,0
198,197,10,0
199,202,11,0
200,197,11,0
