day,juvenile,mature,adult
1,3,0,0
2,3,0,0
3,3,0,0
4,3,0,0
5,3,0,0
6,3,0,0
7,3,0,0
8,5,0,0
9,7,0,0
10,8,0,0
11,8,0,0
12,11,0,0
13,33,0,0
14,43,0,0
15,45,0,0
16,45,0,0
17,57,0,0
18,110,0,0
19,130,0,0
20,241,0,0
21,281,0,0
22,346,0,0
23,539,0,0
24,698,0,0
25,796,0,0
26,831,0,0
27,861,0,0
28,877,0,0
29,896,0,0
30,897,0,0
31,897,0,0
32,898,0,0
33,939,0,0
34,1014,0,0
35,1055,0,0
36,1027,0,0
37,1022,0,0
38,988,0,0
39,957,0,0
40,895,0,0
41,857,0,0
42,798,0,0
43,636,0,0
44,500,0,0
45,405,0,0
46,375,0,0
47,343,0,0
48,320,0,0
49,286,0,0
50,290,0,0
51,280,0,0
52,277,0,0
53,240,0,0
54,164,0,0
55,116,0,0
56,111,0,0
57,94,0,0
58,82,0,0
59,74,0,0
60,69,0,0
61,65,0,0
62,63,0,0
63,63,0,0
64,62,0,0
65,62,0,0
66,59,0,0
67,57,0,0
68,51,0,0
69,50,0,0
70,26,0,0
71,24,0,0
72,24,0,0
73,27,0,0
74,25,0,0
75,36,0,0
76,36,0,0
77,43,0,0
78,48,0,0
79,48,0,0
80,47,0,0
81,46,0,0
82,53,0,0
83,75,0,0
84,85,0,0
85,86,0,0
86,90,0,0
87,136,0,0
88,160,0,0
89,197,0,0
90,221,0,0
91,236,0,0
92,238,0,0
93,247,0,0
94,247,0,0
95,261,0,0
96,267,0,0
97,274,0,0
98,270,0,0
99,285,0,0
100,297,0,0
101,302,0,0
102,291,0,0
103,279,0,0
104,265,0,0
105,265,0,0
106,258,0,0
107,222,0,0
108,209,0,0
109,186,0,0
110,178,0,0
111,182,0,0
112,176,0,0
113,179,0,0
114,183,0,0
115,180,0,0
116,180,0,0
117,183,0,0
118,190,0,0
119,181,0,0
120,181,0,0
121,179,0,0
122,183,0,0
123,183,0,0
124,188,0,0
125,186,0,0
126,188,0,0
127,194,0,0
128,211,0,0
129,208,0,0
130,206,0,0
131,185,0,0
132,183,0,0
133,193,0,0
134,199,0,0
135,241,0,0
136,269,0,0
137,265,0,0
138,262,0,0
139,257,0,0
140,256,0,0
141,258,0,0
142,250,0,0
143,245,0,0
144,240,0,0
145,238,0,0
146,225,1,0
147,212,1,0
148,207,1,0
149,202,1,0
150,190,1,0
151,209,1,0
152,203,1,0
153,188,0,0
154,166,0,0
155,131,0,0
156,101,0,0
157,97,0,0
158,93,0,0
159,87,0,0
160,82,0,0
161,77,0,0
162,72,1,0
163,71,1,0
164,66,0,0
165,58,0,0
166,55,0,0
167,49,0,0
168,48,0,0
169,66,0,0
170,78,0,0
171,57,0,0
172,57,0,0
173,57,0,0
174,66,0,0
175,73,0,0
176,81,0,0
177,95,0,0
178,141,0,0
179,213,0,0
180,225,0,0
181,247,0,0
182,255,0,0
183,280,0,0
184,323,0,0
185,382,0,0
186,388,0,0
187,426,0,0
188,424,0,0
189,436,0,0
190,445,0,0
191,548,0,0
192,570,0,0
193,563,0,0
194,556,0,0
195,540,0,0
196,530,0,0
197,513,2,0
198,482,2,0
199,423,1,0
200,404,1,0
