day,juvenile,mature,adult
1,3,0,0
2,3,0,0
3,3,0,0
4,3,0,0
5,3,0,0
6,3,0,0
7,3,0,0
8,3,0,0
9,3,0,0
10,3,0,0
11,3,0,0
12,3,0,0
13,3,0,0
14,3,0,0
15,3,0,0
16,3,0,0
17,3,0,0
18,3,0,0
19,3,0,0
20,3,0,0
21,3,0,0
22,3,0,0
23,3,0,0
24,3,0,0
25,3,0,0
26,3,0,0
27,3,0,0
28,3,0,0
29,3,0,0
30,3,0,0
31,3,0,0
32,3,0,0
33,3,0,0
34,3,0,0
35,3,0,0
36,3,0,0
37,3,0,0
38,3,0,0
39,3,0,0
40,3,0,0
41,3,0,0
42,3,0,0
43,3,0,0
44,3,0,0
45,3,0,0
46,3,0,0
47,3,0,0
48,3,0,0
49,3,0,0
50,3,0,0
51,3,0,0
52,3,0,0
53,3,0,0
54,3,0,0
55,3,0,0
56,3,0,0
57,3,0,0
58,3,0,0
59,3,0,0
60,3,0,0
61,3,0,0
62,3,0,0
63,0,3,0
64,0,3,0
65,0,3,0
66,2,3,0
67,3,3,0
68,3,3,0
69,3,3,0
70,4,3,0
71,4,3,0
72,4,3,0
73,4,3,0
74,5,3,0
75,5,3,0
76,6,3,0
77,6,3,0
78,8,3,0
79,10,3,0
80,10,3,0
81,10,3,0
82,11,3,0
83,17,3,0
84,17,3,0
85,18,3,0
86,18,3,0
87,18,3,0
88,18,3,0
89,21,3,0
90,23,3,0
91,30,3,0
92,30,3,0
93,31,3,0
94,32,3,0
95,33,3,0
96,35,3,0
97,38,3,0
98,40,3,0
99,40,3,0
100,40,3,0
101,40,3,0
102,46,3,0
103,50,3,0
104,53,3,0
105,56,3,0
106,64,3,0
107,74,3,0
108,79,3,0
109,79,3,0
110,80,3,0
111,87,3,0
112,91,3,0
113,91,3,0
114,96,3,0
115,99,3,0
116,99,3,0
117,103,3,0
118,106,3,0
119,109,3,0
120,117,3,0
121,118,3,0
122,119,3,0
123,121,3,0
124,121,3,0
125,122,3,0
126,124,3,0
127,125,3,0
128,128,5,0
129,138,6,0
130,149,6,0
131,155,6,0
132,157,7,0
133,164,7,0
134,171,7,0
135,176,7,0
136,177,8,0
137,177,8,0
138,180,9,0
139,182,9,0
140,191,11,0
141,196,13,0
142,197,13,0
143,201,13,0
144,221,14,0
145,224,20,0
146,239,20,0
147,247,21,0
148,256,21,0
149,257,21,0
150,258,21,0
151,257,24,0
152,257,26,0
153,250,33,0
154,250,33,0
155,249,34,0
156,248,35,0
157,247,36,0
158,248,37,0
159,249,40,0
160,249,42,0
161,249,41,0
162,250,41,0
163,252,41,0
164,247,46,0
165,243,50,0
166,244,50,0
167,241,51,0
168,233,53,0
169,226,62,0
170,225,65,0
171,227,63,0
172,226,62,0
173,219,68,0
174,215,69,0
175,215,67,0
176,210,72,0
177,207,74,0
178,207,70,0
179,205,70,0
180,203,68,0
181,202,68,0
182,194,72,0
183,193,69,0
184,195,68,0
185,201,65,0
186,208,62,0
187,212,58,0
188,212,56,1
189,213,50,1
190,209,52,0
191,200,60,0
192,193,69,0
193,187,74,0
194,188,73,0
195,181,78,0
196,175,83,0
197,171,87,0
198,172,89,0
199,174,87,0
200,171,89,0
201,170,90,0
202,159,99,0
203,152,104,0
204,151,102,0
205,148,96,0
206,127,108,0
207,118,111,0
208,103,123,0
209,94,130,0
210,93,137,0
211,95,132,0
212,105,122,0
213,111,116,0
214,117,112,0
215,121,104,0
216,126,101,0
217,127,93,0
218,127,83,0
219,128,76,0
220,128,73,0
221,125,68,0
222,123,61,0
223,124,47,0
224,124,44,0
225,127,40,0
226,128,39,0
227,133,34,0
228,130,34,0
229,131,31,0
230,140,31,0
231,139,32,0
232,137,35,0
233,136,36,0
234,137,34,0
235,138,34,0
236,147,33,0
237,150,31,0
238,152,31,0
239,156,31,0
240,165,29,0
241,171,30,0
242,175,30,0
243,178,32,0
244,186,32,0
245,193,32,0
246,204,35,0
247,213,43,0
248,236,50,0
249,256,55,0
250,280,57,0
251,281,59,0
252,289,60,0
253,295,62,0
254,296,66,0
255,303,64,0
256,309,68,0
257,312,68,0
258,311,69,0
259,329,70,0
260,339,73,0
261,359,75,0
262,377,75,0
263,393,76,0
264,398,76,0
265,408,75,0
266,413,75,0
267,417,76,0
268,424,75,0
269,425,74,0
270,425,68,0
271,425,67,0
272,417,75,0
273,414,78,0
274,403,83,0
275,395,91,0
276,387,99,0
277,383,101,0
278,378,106,0
279,379,106,0
280,381,101,0
281,380,93,0
282,377,91,0
283,376,86,0
284,376,81,0
285,375,72,0
286,374,61,0
287,369,58,0
288,367,52,0
289,362,52,0
290,361,51,0
291,360,50,0
292,351,54,0
293,349,49,0
294,347,44,0
295,346,40,0
296,345,39,0
297,344,37,0
298,335,46,0
299,332,46,0
300,330,47,0
301,326,48,0
302,317,55,0
303,309,61,0
304,304,62,0
305,299,62,0
306,291,68,0
307,284,74,0
308,270,83,0
309,255,96,0
310,229,125,0
311,207,148,0
312,181,172,0
313,182,169,0
314,175,174,0
315,169,180,0
316,165,180,0
317,159,182,0
318,149,187,0
319,147,186,0
320,147,178,0
321,129,186,0
322,130,193,0
323,135,199,0
324,117,212,0
325,100,216,0
326,99,210,0
327,89,209,0
328,84,206,0
329,79,203,0
330,72,204,0
