grass,deer,lion
525,300,3
551,300,3
578,300,3
606,300,3
636,300,3
667,300,3
700,300,3
735,300,3
771,300,3
809,300,3
849,300,3
891,300,3
935,300,3
981,300,3
1030,300,3
1081,300,3
1135,300,3
1191,300,3
1250,300,3
1312,300,3
1377,300,3
1445,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
1500,300,3
