day,juvenile,mature,adult
1,300,0,0
2,300,0,0
3,300,0,0
4,300,0,0
5,300,0,0
6,300,0,0
7,300,0,0
8,300,0,0
9,300,0,0
10,300,0,0
11,300,0,0
12,300,0,0
13,300,0,0
14,300,0,0
15,300,0,0
16,300,0,0
17,300,0,0
18,300,0,0
19,300,0,0
20,300,0,0
21,300,0,0
22,300,0,0
23,300,0,0
24,300,0,0
25,300,0,0
26,300,0,0
27,300,0,0
28,300,0,0
29,300,0,0
30,300,0,0
31,300,0,0
32,300,0,0
33,300,0,0
34,300,0,0
35,300,0,0
36,300,0,0
37,300,0,0
38,0,300,0
39,39,300,0
40,121,300,0
41,214,300,0
42,312,300,0
43,428,300,0
44,540,300,0
45,659,300,0
46,770,300,0
47,866,300,0
48,951,300,0
49,1038,299,0
50,1101,299,0
51,1170,298,0
52,1235,298,0
53,1303,298,0
54,1361,298,0
55,1428,298,0
56,1464,298,0
57,1501,297,0
58,1539,295,0
59,1571,294,0
60,1619,293,0
61,1656,290,0
62,1685,283,0
63,1706,278,0
64,1741,268,0
65,1852,266,0
66,1948,264,0
67,2055,262,0
68,2121,261,0
69,2203,258,0
70,2248,255,0
71,2323,255,0
72,2398,254,0
73,2465,254,0
74,2525,254,0
75,2565,253,0
76,2560,291,0
77,2508,372,0
78,2443,459,0
79,2365,555,0
80,2274,671,0
81,2230,779,0
82,2164,894,0
83,2100,996,0
84,2035,1083,0
85,1972,1160,0
86,1912,1238,0
87,1876,1287,0
88,1828,1327,0
89,1778,1348,0
90,1747,1372,0
91,1710,1359,0
92,1661,1348,0
93,1656,1294,0
94,1707,1265,0
95,1734,1221,0
96,1752,1167,0
97,1764,1153,0
98,1809,1140,0
99,1834,1120,0
100,1864,1082,0
101,1878,1065,0
102,1836,1122,0
103,1808,1190,0
104,1767,1252,0
105,1739,1270,0
106,1695,1309,0
107,1682,1300,0
108,1644,1317,0
109,1592,1345,0
110,1554,1360,0
111,1541,1380,0
112,1519,1368,0
113,1501,1226,76
114,1482,1163,69
115,1452,1099,61
116,1443,1038,59
117,1447,964,54
118,1450,965,47
119,1448,942,44
120,1447,929,43
121,1476,885,39
122,1515,843,38
123,1527,819,37
124,1528,811,36
125,1527,804,34
126,1528,794,34
127,1515,801,34
128,1495,779,34
129,1470,744,33
130,1435,688,32
131,1374,663,28
132,1313,639,22
133,1259,616,19
134,1203,602,18
135,1124,619,12
136,1073,616,12
137,1029,619,10
138,977,620,8
139,951,625,7
140,925,651,7
141,902,684,7
142,899,685,7
143,900,691,6
144,845,708,6
145,823,708,6
146,788,682,6
147,754,678,6
148,696,692,6
149,673,689,5
150,655,664,5
151,640,622,0
152,637,553,1
153,632,500,1
154,602,436,1
155,543,386,0
156,500,353,0
157,448,375,0
158,394,393,0
159,336,397,0
160,315,408,0
161,309,410,0
162,301,411,0
163,286,425,0
164,275,431,0
165,265,415,0
166,266,376,0
167,265,342,1
168,273,303,1
169,267,259,1
170,261,202,1
171,257,173,1
172,264,152,1
173,266,135,1
